link,title
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/4/063bd16c-b31f-a552-d604-80db24080594_1280x720.mp4,MISS Thompson 25' 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/10/12650f87-0685-f553-05c8-11f9a6401910_1280x720.mp4,MISS Barnes 25' 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/18/672a2de2-d289-0c3c-8c9c-59ad6a6e2d8d_1280x720.mp4,MISS Green 6' Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/58/33435db4-ee7c-abc3-a96e-9f5cf38bbed6_1280x720.mp4,MISS Barnes 9' Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/61/8725aa3b-79c5-5abe-5093-0ff2126e200a_1280x720.mp4,MISS Thompson 15' Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/74/1cc24798-cf38-6a3b-cc06-88d565636cc2_1280x720.mp4,MISS Curry 25' 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/81/7d354743-5691-dec9-7b3c-b6ef477b513b_1280x720.mp4,MISS Iguodala 25' 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/98/160f200f-c0bb-5742-b6b4-92b76e82625c_1280x720.mp4,MISS Thompson 9' Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/134/a8b9b856-fcff-525f-c07c-f03640911ead_1280x720.mp4,MISS Iguodala 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/142/224df884-33bb-7c27-f2d0-91ec6dd74dab_1280x720.mp4,MISS Barbosa 20' Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/146/031cbd09-337a-b8bb-423f-c7a97f2bb54f_1280x720.mp4,MISS Speights 12' Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/163/19250919-199e-9086-d615-24d5abaea893_1280x720.mp4,MISS Barbosa 32' 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/215/ce77b31f-0c57-ba91-a809-48711d9afa11_1280x720.mp4,MISS Green 22' Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/223/4a1f2271-7b5e-1b1d-c8b6-debe382759ff_1280x720.mp4,MISS Thompson 25' 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/227/960bfc53-07c5-fc15-30ff-3886de4a9c2c_1280x720.mp4,MISS Curry 25' 3PT Jump Shot
https://videos.nba.com/nba/pbp/media/2014/10/29/0021400014/238/6b71909c-f465-2058-9dfd-cae124282146_1280x720.mp4,MISS Curry 10' Jump Shot
